TIME,CH3,CH3 Peak Detect
-3.00240e-05,0.04,0.02
-3.00160e-05,0.06,0.06
-3.00080e-05,0.06,-3.33786e-08
-3.00000e-05,0.04,0.06
-2.99920e-05,0.06,0.02
-2.99840e-05,0.02,0.06
-2.99760e-05,0.06,-3.33786e-08
-2.99680e-05,0.04,0.06
-2.99600e-05,0.04,0.02
-2.99520e-05,0.06,0.06
-2.99440e-05,0.04,0.02
-2.99360e-05,0.02,0.06
-2.99280e-05,0.04,0.02
-2.99200e-05,0.04,0.06
-2.99120e-05,0.02,0.02
-2.99040e-05,0.04,0.06
-2.98960e-05,0.04,0.02
-2.98880e-05,0.04,0.04
-2.98800e-05,0.06,0.02
-2.98720e-05,0.04,0.06
-2.98640e-05,0.04,0.02
-2.98560e-05,0.02,0.06
-2.98480e-05,0.04,0.02
-2.98400e-05,0.04,0.06
-2.98320e-05,0.02,0.02
-2.98240e-05,0.02,0.04
-2.98160e-05,0.04,0.02
-2.98080e-05,0.04,0.04
-2.98000e-05,0.04,0.02
-2.97920e-05,0.06,0.06
-2.97840e-05,0.06,0.02
-2.97760e-05,0.04,0.06
-2.97680e-05,0.04,0.02
-2.97600e-05,0.02,0.06
-2.97520e-05,0.06,0.02
-2.97440e-05,0.04,0.04
-2.97360e-05,0.04,0.02
-2.97280e-05,0.04,0.06
-2.97200e-05,0.04,0.02
-2.97120e-05,0.04,0.06
-2.97040e-05,0.04,0.02
-2.96960e-05,0.04,0.06
-2.96880e-05,0.04,0.02
-2.96800e-05,0.04,0.06
-2.96720e-05,0.06,-3.33786e-08
-2.96640e-05,0.04,0.04
-2.96560e-05,0.02,0.02
-2.96480e-05,0.04,0.06
-2.96400e-05,0.04,0.02
-2.96320e-05,0.04,0.06
-2.96240e-05,0.04,0.02
-2.96160e-05,0.04,0.06
-2.96080e-05,0.06,-3.33786e-08
-2.96000e-05,0.04,0.06
-2.95920e-05,0.04,0.02
-2.95840e-05,0.04,0.06
-2.95760e-05,0.04,0.02
-2.95680e-05,0.04,0.06
-2.95600e-05,0.06,0.02
-2.95520e-05,0.04,0.06
-2.95440e-05,0.06,0.02
-2.95360e-05,0.04,0.06
-2.95280e-05,0.04,0.02
-2.95200e-05,0.04,0.06
-2.95120e-05,0.04,0.02
-2.95040e-05,0.04,0.06
-2.94960e-05,0.04,0.02
-2.94880e-05,0.04,0.04
-2.94800e-05,0.06,0.02
-2.94720e-05,0.04,0.04
-2.94640e-05,0.04,0.02
-2.94560e-05,0.06,0.06
-2.94480e-05,0.04,0.02
-2.94400e-05,0.04,0.06
-2.94320e-05,0.04,0.02
-2.94240e-05,0.06,0.04
-2.94160e-05,0.04,0.02
-2.94080e-05,0.04,0.06
-2.94000e-05,0.04,0.02
-2.93920e-05,0.06,0.04
-2.93840e-05,0.02,0.02
-2.93760e-05,0.04,0.06
-2.93680e-05,0.04,0.02
-2.93600e-05,0.04,0.06
-2.93520e-05,0.04,0.02
-2.93440e-05,0.04,0.04
-2.93360e-05,0.02,0.02
-2.93280e-05,0.04,0.06
-2.93200e-05,0.04,0.02
-2.93120e-05,0.04,0.06
-2.93040e-05,0.04,0.02
-2.92960e-05,0.06,0.04
-2.92880e-05,0.04,0.02
-2.92800e-05,0.04,0.06
-2.92720e-05,0.02,0.02
-2.92640e-05,0.06,0.04
-2.92560e-05,0.04,0.02
-2.92480e-05,0.06,0.06
-2.92400e-05,0.04,0.02
-2.92320e-05,-3.33786e-08,0.06
-2.92240e-05,0.02,-3.33786e-08
-2.92160e-05,0.04,0.06
-2.92080e-05,0.04,0.02
-2.92000e-05,0.04,0.04
-2.91920e-05,0.02,0.02
-2.91840e-05,0.04,0.06
-2.91760e-05,0.04,0.02
-2.91680e-05,0.04,0.04
-2.91600e-05,0.04,0.02
-2.91520e-05,0.02,0.04
-2.91440e-05,0.04,0.02
-2.91360e-05,0.06,0.04
-2.91280e-05,0.04,0.02
-2.91200e-05,0.04,0.06
-2.91120e-05,0.04,0.02
-2.91040e-05,0.04,0.06
-2.90960e-05,0.02,0.02
-2.90880e-05,0.04,0.04
-2.90800e-05,0.04,0.02
-2.90720e-05,0.04,0.04
-2.90640e-05,0.04,0.02
-2.90560e-05,0.04,0.06
-2.90480e-05,0.04,-3.33786e-08
-2.90400e-05,0.04,0.06
-2.90320e-05,0.04,0.02
-2.90240e-05,0.04,0.04
-2.90160e-05,0.04,0.02
-2.90080e-05,0.04,0.06
-2.90000e-05,0.04,0.02
-2.89920e-05,0.06,0.04
-2.89840e-05,0.04,0.02
-2.89760e-05,0.04,0.06
-2.89680e-05,0.04,0.02
-2.89600e-05,0.04,0.06
-2.89520e-05,0.04,0.02
-2.89440e-05,0.04,0.06
-2.89360e-05,0.04,0.02
-2.89280e-05,0.04,0.06
-2.89200e-05,0.04,0.02
-2.89120e-05,0.02,0.06
-2.89040e-05,0.02,0.02
-2.88960e-05,0.06,0.06
-2.88880e-05,0.04,0.02
-2.88800e-05,0.04,0.06
-2.88720e-05,0.04,0.02
-2.88640e-05,0.04,0.04
-2.88560e-05,0.04,0.02
-2.88480e-05,0.04,0.04
-2.88400e-05,0.04,0.02
-2.88320e-05,0.04,0.04
-2.88240e-05,0.04,0.02
-2.88160e-05,0.02,0.06
-2.88080e-05,0.06,0.02
-2.88000e-05,0.04,0.04
-2.87920e-05,0.06,0.02
-2.87840e-05,0.04,0.06
-2.87760e-05,0.04,0.02
-2.87680e-05,0.04,0.06
-2.87600e-05,0.02,0.02
-2.87520e-05,0.02,0.06
-2.87440e-05,0.04,-3.33786e-08
-2.87360e-05,0.04,0.06
-2.87280e-05,0.04,0.02
-2.87200e-05,0.06,0.06
-2.87120e-05,0.04,0.02
-2.87040e-05,0.08,0.06
-2.86960e-05,0.1,0.02
-2.86880e-05,0.08,0.08
-2.86800e-05,0.06,-0.04
-2.86720e-05,0.06,0.1
-2.86640e-05,0.06,0.02
-2.86560e-05,0.06,0.08
-2.86480e-05,0.04,0.02
-2.86400e-05,0.04,0.08
-2.86320e-05,0.04,0.02
-2.86240e-05,0.02,0.08
-2.86160e-05,0.04,0.02
-2.86080e-05,0.04,0.06
-2.86000e-05,0.04,0.02
-2.85920e-05,0.08,0.04
-2.85840e-05,0.04,-3.33786e-08
-2.85760e-05,0.02,0.08
-2.85680e-05,0.02,0.02
-2.85600e-05,0.02,0.06
-2.85520e-05,0.04,0.02
-2.85440e-05,0.04,0.04
-2.85360e-05,0.04,-3.33786e-08
-2.85280e-05,0.04,0.04
-2.85200e-05,0.06,0.02
-2.85120e-05,0.04,0.08
-2.85040e-05,0.04,0.02
-2.84960e-05,0.06,0.06
-2.84880e-05,0.02,0.02
-2.84800e-05,0.04,0.06
-2.84720e-05,0.06,0.02
-2.84640e-05,0.06,0.06
-2.84560e-05,0.02,0.04
-2.84480e-05,0.04,0.06
-2.84400e-05,0.04,0.02
-2.84320e-05,0.04,0.06
-2.84240e-05,0.02,0.02
-2.84160e-05,0.04,0.06
-2.84080e-05,0.04,0.02
-2.84000e-05,0.04,0.06
-2.83920e-05,0.04,-3.33786e-08
-2.83840e-05,0.02,0.06
-2.83760e-05,0.04,0.02
-2.83680e-05,0.04,0.06
-2.83600e-05,0.04,0.02
-2.83520e-05,0.04,0.06
-2.83440e-05,0.04,0.02
-2.83360e-05,0.04,0.06
-2.83280e-05,0.04,0.02
-2.83200e-05,0.04,0.04
-2.83120e-05,0.04,0.02
-2.83040e-05,0.04,0.08
-2.82960e-05,0.02,0.02
-2.82880e-05,0.04,0.06
-2.82800e-05,0.04,0.02
-2.82720e-05,0.04,0.04
-2.82640e-05,0.04,0.02
-2.82560e-05,0.04,0.04
-2.82480e-05,0.04,0.02
-2.82400e-05,0.02,0.06
-2.82320e-05,0.04,0.02
-2.82240e-05,0.04,0.04
-2.82160e-05,0.04,0.02
-2.82080e-05,0.04,0.04
-2.82000e-05,0.04,0.02
-2.81920e-05,0.04,0.04
-2.81840e-05,0.02,0.02
-2.81760e-05,0.04,0.04
-2.81680e-05,0.04,0.02
-2.81600e-05,0.04,0.04
-2.81520e-05,0.04,0.02
-2.81440e-05,0.04,0.06
-2.81360e-05,0.04,0.02
-2.81280e-05,0.02,0.06
-2.81200e-05,0.06,-3.33786e-08
-2.81120e-05,0.02,0.04
-2.81040e-05,0.04,0.02
-2.80960e-05,0.04,0.06
-2.80880e-05,0.04,0.02
-2.80800e-05,0.06,0.04
-2.80720e-05,0.06,0.02
-2.80640e-05,0.04,0.06
-2.80560e-05,0.04,-3.33786e-08
-2.80480e-05,0.04,0.06
-2.80400e-05,0.06,0.02
-2.80320e-05,0.04,0.04
-2.80240e-05,0.04,0.02
-2.80160e-05,0.04,0.06
-2.80080e-05,0.04,0.02
-2.80000e-05,0.04,0.04
-2.79920e-05,0.04,0.02
-2.79840e-05,0.04,0.06
-2.79760e-05,0.04,0.02
-2.79680e-05,0.02,0.06
-2.79600e-05,0.04,0.02
-2.79520e-05,0.04,0.04
-2.79440e-05,0.04,0.02
-2.79360e-05,0.04,0.06
-2.79280e-05,0.06,0.02
-2.79200e-05,0.04,0.04
-2.79120e-05,0.02,0.02
-2.79040e-05,0.02,0.06
-2.78960e-05,0.04,0.02
-2.78880e-05,0.04,0.04
-2.78800e-05,0.04,0.02
-2.78720e-05,0.02,0.06
